celltype_leiden_res_1.0,gene,expression
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Plasma cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Plasma cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
pDC,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
IFN-response,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
IFN-response,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
IFN-response,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
IFN-response,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Plasma cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Plasma cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
IFN-response,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
IFN-response,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,10.0
B cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
B cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
NK cells,BRDT,-0.05018621130278904
Myeloid,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
CAF,BRDT,-0.05018621130278904
CD8 T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Endothelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
Tumor epithelial,BRDT,-0.05018621130278904
Perivascular,BRDT,-0.05018621130278904
Plasma cells,BRDT,-0.05018621130278904
Cycling tumor,BRDT,-0.05018621130278904
T cells,BRDT,-0.05018621130278904
