celltype_leiden_res_1.0,gene,expression
T cells,MAGEB2,-0.02540576491155916
Unknown,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Plasma cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Plasma cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
NK cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
NK cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Endothelial,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Plasma cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Endothelial,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Plasma cells,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
NK cells,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
NK cells,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
B cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
B cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
NK cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
NK cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
NK cells,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
Plasma cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
B cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
B cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Plasma cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
NK cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
NK cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Plasma cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
CAF,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Myeloid,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Tumor epithelial,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
Perivascular,MAGEB2,-0.02540576491155916
T cells,MAGEB2,-0.02540576491155916
