sample_id,predicted_cell_type,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
349,Fibroblast,ATAD2,105,0,0.0,
349,T cell,ATAD2,115,5,0.043478260869565216,7.487665311012473
349,Dendritic cell,ATAD2,19,0,0.0,
349,Luminal epithelial cell,ATAD2,22,0,0.0,
349,Endothelial cell,ATAD2,34,0,0.0,
349,3,ATAD2,58,0,0.0,
349,1,ATAD2,109,0,0.0,
349,10,ATAD2,7,0,0.0,
349,8,ATAD2,18,0,0.0,
349,12,ATAD2,5,0,0.0,
349,9,ATAD2,16,0,0.0,
349,5,ATAD2,26,0,0.0,
349,11,ATAD2,7,0,0.0,
349,Fibroblast,CTCFL,105,0,0.0,
349,T cell,CTCFL,115,0,0.0,
349,Dendritic cell,CTCFL,19,0,0.0,
349,Luminal epithelial cell,CTCFL,22,6,0.2727272727272727,8.695111563947732
349,Endothelial cell,CTCFL,34,0,0.0,
349,3,CTCFL,58,0,0.0,
349,1,CTCFL,109,0,0.0,
349,10,CTCFL,7,0,0.0,
349,8,CTCFL,18,0,0.0,
349,12,CTCFL,5,0,0.0,
349,9,CTCFL,16,0,0.0,
349,5,CTCFL,26,0,0.0,
349,11,CTCFL,7,0,0.0,
349,Fibroblast,NR6A1,105,0,0.0,
349,T cell,NR6A1,115,1,0.008695652173913044,10.0
349,Dendritic cell,NR6A1,19,1,0.05263157894736842,8.392237578013592
349,Luminal epithelial cell,NR6A1,22,1,0.045454545454545456,10.0
349,Endothelial cell,NR6A1,34,0,0.0,
349,3,NR6A1,58,0,0.0,
349,1,NR6A1,109,0,0.0,
349,10,NR6A1,7,0,0.0,
349,8,NR6A1,18,0,0.0,
349,12,NR6A1,5,0,0.0,
349,9,NR6A1,16,0,0.0,
349,5,NR6A1,26,0,0.0,
349,11,NR6A1,7,0,0.0,
349,Fibroblast,PBK,105,1,0.009523809523809525,9.96972618727625
349,T cell,PBK,115,1,0.008695652173913044,3.389537687639797
349,Dendritic cell,PBK,19,0,0.0,
349,Luminal epithelial cell,PBK,22,2,0.09090909090909091,10.0
349,Endothelial cell,PBK,34,0,0.0,
349,3,PBK,58,0,0.0,
349,1,PBK,109,0,0.0,
349,10,PBK,7,0,0.0,
349,8,PBK,18,0,0.0,
349,12,PBK,5,0,0.0,
349,9,PBK,16,0,0.0,
349,5,PBK,26,0,0.0,
349,11,PBK,7,0,0.0,
349,Fibroblast,SPEF2,105,2,0.01904761904761905,9.874964423977742
349,T cell,SPEF2,115,0,0.0,
349,Dendritic cell,SPEF2,19,0,0.0,
349,Luminal epithelial cell,SPEF2,22,1,0.045454545454545456,10.0
349,Endothelial cell,SPEF2,34,0,0.0,
349,3,SPEF2,58,0,0.0,
349,1,SPEF2,109,0,0.0,
349,10,SPEF2,7,0,0.0,
349,8,SPEF2,18,0,0.0,
349,12,SPEF2,5,0,0.0,
349,9,SPEF2,16,0,0.0,
349,5,SPEF2,26,0,0.0,
349,11,SPEF2,7,0,0.0,
